YEAR,AREA,ST,STATE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP
2010,48,TX,Texas,15-0000,Computer and Mathematical ,major,263130
2010,48,TX,Texas,15-1111,Computer and Information Research Scientists,,1660
2010,48,TX,Texas,15-1121,Computer Systems Analysts,,44850
2010,48,TX,Texas,15-1131,Computer Programmers,,27620
2010,48,TX,Texas,15-1132,"Software Developers, Applications",,34810
2010,48,TX,Texas,15-1133,"Software Developers, Systems Software",,33630
2010,48,TX,Texas,15-1141,Database Administrators,,9180
2010,48,TX,Texas,15-1142,Network and Computer Systems Administrators*,,27380
2010,48,TX,Texas,15-1150,Computer Support Specialists,,49260
2010,48,TX,Texas,15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",,18080
2010,48,TX,Texas,15-1799,"Computer , All Other*",,9000
2010,48,TX,Texas,15-2011,Actuaries,,830
2010,48,TX,Texas,15-2021,Mathematicians,,90
2010,48,TX,Texas,15-2031,Operations Research Analysts,,5620
2010,48,TX,Texas,15-2041,Statisticians,,1110
2011,48,TX,Texas,15-0000,Computer and Mathematical ,major,273170
2011,48,TX,Texas,15-1111,Computer and Information Research Scientists,,1680
2011,48,TX,Texas,15-1121,Computer Systems Analysts,,44880
2011,48,TX,Texas,15-1131,Computer Programmers,,24630
2011,48,TX,Texas,15-1132,"Software Developers, Applications",,38040
2011,48,TX,Texas,15-1133,"Software Developers, Systems Software",,34820
2011,48,TX,Texas,15-1141,Database Administrators,,9570
2011,48,TX,Texas,15-1142,Network and Computer Systems Administrators*,,27360
2011,48,TX,Texas,15-1150,Computer Support Specialists,,54370
2011,48,TX,Texas,15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",,21030
2011,48,TX,Texas,15-1799,"Computer , All Other*",,9220
2011,48,TX,Texas,15-2011,Actuaries,,920
2011,48,TX,Texas,15-2021,Mathematicians,,100
2011,48,TX,Texas,15-2031,Operations Research Analysts,,5360
2011,48,TX,Texas,15-2041,Statisticians,,1110
2011,48,TX,Texas,15-2091,Mathematical Technicians,,0
2012,48,TX,Texas,15-0000,Computer and Mathematical ,major,292370
2012,48,TX,Texas,15-1111,Computer and Information Research Scientists,detailed,1630
2012,48,TX,Texas,15-1121,Computer Systems Analysts,detailed,41890
2012,48,TX,Texas,15-1122,Information Security Analysts,detailed,6940
2012,48,TX,Texas,15-1131,Computer Programmers,detailed,23300
2012,48,TX,Texas,15-1132,"Software Developers, Applications",detailed,41530
2012,48,TX,Texas,15-1133,"Software Developers, Systems Software",detailed,32660
2012,48,TX,Texas,15-1134,Web Developers,detailed,7130
2012,48,TX,Texas,15-1141,Database Administrators,detailed,9880
2012,48,TX,Texas,15-1142,Network and Computer Systems Administrators,detailed,29480
2012,48,TX,Texas,15-1143,Computer Network Architects,detailed,11450
2012,48,TX,Texas,15-1151,Computer User Support Specialists,detailed,48640
2012,48,TX,Texas,15-1152,Computer Network Support Specialists,detailed,18560
